1970-01-01 01:02:11 startup archives unpack
1970-01-01 01:02:11 install dos2unix:armhf <none> 6.0.4-1
1970-01-01 01:02:11 status half-installed dos2unix:armhf 6.0.4-1
1970-01-01 01:02:11 status triggers-pending man-db:armhf 2.7.0.2-5
1970-01-01 01:02:12 status unpacked dos2unix:armhf 6.0.4-1
1970-01-01 01:02:12 status unpacked dos2unix:armhf 6.0.4-1
1970-01-01 01:02:12 trigproc man-db:armhf 2.7.0.2-5 <none>
1970-01-01 01:02:12 status half-configured man-db:armhf 2.7.0.2-5
1970-01-01 01:02:12 status installed man-db:armhf 2.7.0.2-5
1970-01-01 01:02:13 startup packages configure
1970-01-01 01:02:13 configure dos2unix:armhf 6.0.4-1 <none>
1970-01-01 01:02:13 status unpacked dos2unix:armhf 6.0.4-1
1970-01-01 01:02:13 status half-configured dos2unix:armhf 6.0.4-1
1970-01-01 01:02:13 status installed dos2unix:armhf 6.0.4-1
1970-01-01 01:02:13 startup packages configure
1970-01-01 01:01:13 startup packages remove
1970-01-01 01:01:13 status installed bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:14 remove bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:14 status half-configured bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:14 status half-installed bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:14 status triggers-pending man-db:armhf 2.7.0.2-5
1970-01-01 01:01:15 status config-files bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:15 status config-files bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:16 status config-files bind9-host:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:16 status not-installed bind9-host:armhf <none>
1970-01-01 01:01:16 status installed dc:armhf 1.06.95-9
1970-01-01 01:01:16 remove dc:armhf 1.06.95-9 <none>
1970-01-01 01:01:16 status half-configured dc:armhf 1.06.95-9
1970-01-01 01:01:16 status half-installed dc:armhf 1.06.95-9
1970-01-01 01:01:16 status triggers-pending install-info:armhf 5.2.0.dfsg.1-6
1970-01-01 01:01:17 status config-files dc:armhf 1.06.95-9
1970-01-01 01:01:17 status config-files dc:armhf 1.06.95-9
1970-01-01 01:01:17 status installed fakeroot:armhf 1.20.2-1
1970-01-01 01:01:17 remove fakeroot:armhf 1.20.2-1 <none>
1970-01-01 01:01:17 status half-configured fakeroot:armhf 1.20.2-1
1970-01-01 01:01:18 status half-installed fakeroot:armhf 1.20.2-1
1970-01-01 01:01:18 status config-files fakeroot:armhf 1.20.2-1
1970-01-01 01:01:18 status config-files fakeroot:armhf 1.20.2-1
1970-01-01 01:01:19 status installed libalgorithm-merge-perl:all 0.08-2
1970-01-01 01:01:19 remove libalgorithm-merge-perl:all 0.08-2 <none>
